State,Rates Single,Brackets Single,Rates Married,Brackets Married,Standard Deduction,,Personal Exemption,,
,,,,,Single,Couple,Single,Couple,Dependent
Alabama,2.00%,$0,2.00%,$0,"$2,500","$7,500","$1,500","$3,000","$1,000"
,4.00%,$500,4.00%,"$1,000",,,,,
,5.00%,"$3,000",5.00%,"$6,000",,,,,
,,,,,,,,,
Alaska,none,n.a.,n.a.,n.a.,n.a.,,,,
,,,,,,,,,
Arizona,2.59%,$0.00,2.59%,$0,"$12,950","$25,900",n.a.,n.a.,$100 credit
,3.34%,"$27,808",3.34%,"$55,615",,,,,
,4.17%,"$55,615",4.17%,"$111,229",,,,,
,4.50%,"$166,843",4.50%,"$333,684",,,,,
,,,,,,,,,
Arkansas,2.00%,$0,2.00%,$0,"$2,200","$4,400",$29 credit,$58 credit,$29 credit
,4.00%,"$4,300",4.00%,"$4,300",,,,,
,5.50%,"$8,500",5.50%,"$8,500",,,,,
,,,,,,,,,
California,1.00%,$0,1.00%,$0,"$4,803","$9,606",$129 credit,$258 credit,$400 credit
,2.00%,"$9,325",2.00%,"$18,650",,,,,
,4.00%,"$22,107",4.00%,"$44,214",,,,,
,6.00%,"$34,892",6.00%,"$69,784",,,,,
,8.00%,"$48,435",8.00%,"$96,870",,,,,
,9.30%,"$61,214",9.30%,"$122,428",,,,,
,10.30%,"$312,686",10.30%,"$625,372",,,,,
,11.30%,"$375,221",11.30%,"$750,442",,,,,
,12.30%,"$625,369",12.30%,"$1,000,000 ",,,,,
,13.30%,"$1,000,000",13.30%,"$1,250,738 ",,,,,
,,,,,,,,,
Colorado,4.55%,$0 ,4.55%,$0 ,"$12,950","$25,900",n.a.,n.a.,n.a.
,,,,,,,,,
Connecticut,3.00%,$0,3.00%,$0,n.a.,n.a.,"$15,000","$24,000",$0
,5.00%,"$10,000",5.00%,"$20,000",,,,,
,5.50%,"$50,000",5.50%,"$100,000",,,,,
,6.00%,"$100,000",6.00%,"$200,000",,,,,
,6.50%,"$200,000",6.50%,"$400,000",,,,,
,6.90%,"$250,000",6.90%,"$500,000",,,,,
,6.99%,"$500,000",6.99%,"$1,000,000",,,,,
,,,,,,,,,
Delaware,2.20%,"$2,000",2.20%,"$2,000","$3,250","$6,500",$110 credit,$220 credit,$110 credit
,3.90%,"$5,000",3.90%,"$5,000",,,,,
,4.80%,"$10,000",4.80%,"$10,000",,,,,
,5.20%,"$20,000",5.20%,"$20,000",,,,,
,5.55%,"$25,000",5.55%,"$25,000",,,,,
,6.60%,"$60,000",6.60%,"$60,000",,,,,
,,,,,,,,,
Florida,none,n.a.,n.a.,n.a.,n.a.,,,,
,,,,,,,,,
Georgia,1.00%,$0,1.00%,$0,"$4,600","$6,000","$2,700","$7,400","$3,000"
,2.00%,$750,2.00%,"$1,000","$5,400 ","$7,100 ",,,
,3.00%,"$2,250",3.00%,"$3,000",,,,,
,4.00%,"$3,750",4.00%,"$5,000",,,,,
,5.00%,"$5,250",5.00%,"$7,000",,,,,
,5.75%,"$7,000",5.75%,"$10,000",,,,,
,,,,,,,,,
Hawaii,1.40%,$0,1.40%,$0,"$2,200","$4,400","$1,144","$2,288","$1,144"
,3.20%,"$2,400",3.20%,"$4,800",,,,,
,5.50%,"$4,800",5.50%,"$9,600",,,,,
,6.40%,"$9,600",6.40%,"$19,200",,,,,
,6.80%,"$14,400",6.80%,"$28,800",,,,,
,7.20%,"$19,200",7.20%,"$38,400",,,,,
,7.60%,"$24,000",7.60%,"$48,000",,,,,
,7.90%,"$36,000",7.90%,"$72,000",,,,,
,8.25%,"$48,000",8.25%,"$96,000",,,,,
,9.00%,"$150,000",9.00%,"$300,000",,,,,
,10.00%,"$175,000",10.00%,"$350,000",,,,,
,11.00%,"$200,000",11.00%,"$400,000",,,,,
,,,,,,,,,
Idaho,1.000%,$0,1.000%,$0,"$12,950","$25,900",n.a.,n.a.,n.a.
,3.000%,"$1,588",3.000%,"$3,176",,,,,
,4.500%,"$4,763",4.500%,"$9,526",,,,,
,6.000%,"$7,939",6.000%,"$15,878",,,,,
,,,,,,,,,
Illinois,4.95%,$0,4.95%,$0,n.a.,n.a.,"$2,375","$4,750","$2,375"
,,,,,,,,,
Indiana,3.23%,$0,3.23%,$0,n.a.,n.a.,"$1,000","$2,000","$1,000"
,,,,,,,,,
,,,,,,,,,
Iowa,0.33%,$0,0.33%,$0,"$2,210","$5,450",$40 credit,$80 credit,$40 credit
,0.67%,"$1,743",0.67%,"$1,743",,,,,
,2.25%,"$3,486",2.25%,"$3,486",,,,,
,4.14%,"$6,972",4.14%,"$6,972",,,,,
,5.63%,"$15,687",5.63%,"$15,687",,,,,
,5.96%,"$26,145",5.96%,"$26,145",,,,,
,6.25%,"$34,860",6.25%,"$34,860",,,,,
,7.44%,"$52,290",7.44%,"$52,290",,,,,
,8.53%,"$78,435",8.53%,"$78,435",,,,,
,,,,,,,,,
Kansas,3.10%,$0,3.10%,$0,"$3,500","$8,000","$2,250","$4,500","$2,250"
,5.25%,"$15,000",5.25%,"$30,000",,,,,
,5.70%,"$30,000",5.70%,"$60,000",,,,,
,,,,,,,,,
Kentucky,5.00%,$0,5.00%,$0,"$2,770","$5,540",n.a.,n.a.,n.a.
,,,,,,,,,
,,,,,,,,,
Louisiana,1.85%,$0,1.85%,$0,n.a.,n.a.,"$4,500","$9,000","$1,000"
,3.50%,"$12,500",3.50%,"$25,000",,,,,
